WKT,id,nombre,direccion,cod_ine_mun,anyo_const,tipo_edifi,uso_edifi,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidat_total,nom_mun,comarca,provincia,lon,lat
POINT (692437.490001877 4225961.09887768),707,CONSERVATORIO                                         ,C/ OSCAR ESPLA                                         ,3055,2012,Equipamiento         ,"Educativo, Cultural                      ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Catral              ,el Baix Segura/La V,Alacant/Alicante ,-0.8034790000000008,38.16102499999997
POINT (693915.466375637 4220103.93745854),617,SERVICIOS SOCIALES                                    ,CL ESPA?A 53                                           ,3015,1995,Equipamiento         ,"Asistencial, Administrativo, Social      ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Almorad?            ,el Baix Segura/La V,Alacant/Alicante ,-0.7882140000000043,38.10795900000002
POINT (692330.412689945 4226003.19878469),708,CATRAL JOVEN                                          ,C/ RAMON Y CAJAL                                       ,3055,2005,Equipamiento         ,"Cultural, Social                         ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Catral              ,el Baix Segura/La V,Alacant/Alicante ,-0.804689000000004,38.16142699999998
POINT (693318.56133976 4217631.05473344) ,604,CENTRO CULTURAL SAN VICENTE FERRER                    ,"CALLE MAYOR, 35                                        ",3012,2008,Equipamiento         ,"Cultural, Educativo                      ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitect?nicas,Accesibilidad baja                              ,Algorfa             ,el Baix Segura/La V,Alacant/Alicante ,-0.7956870000000005,38.08581600000001
POINT (706096.974578604 4257191.96380114),591,AYUNTAMIENTO                                          ,"PL. DE ESPA?A, 1                                       ",3002,1970,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Agost               ,l'Alacant?         ,Alacant/Alicante ,-0.638581000000001,38.439234000000035
POINT (706051.333194896 4257009.77434945),592,CENTRO SOCIAL                                         ,"AV. CONSELL DEL PA?S VALENCI?, 16                      ",3002,2007,Equipamiento         ,"Cultural, Social, Administrativo         ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Agost               ,l'Alacant?         ,Alacant/Alicante ,-0.6391569999999983,38.43760400000002
POINT (706346.689201751 4257083.31647807),593,CEIP LA RAMBLA                                        ,"AV. DE ALCOY, 25                                       ",3002,2007,Equipamiento         ,Educativo                                ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitect?nicas,Accesibilidad baja                              ,Agost               ,l'Alacant?         ,Alacant/Alicante ,-0.635753999999999,38.438198000000014
POINT (706160.665044443 4256847.3274802) ,594,CASA DE CULTURA                                       ,"AV. DE JIJONA, 2                                       ",3002,2000,Equipamiento         ,"Cultural, Social                         ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitect?nicas,Accesibilidad baja                              ,Agost               ,l'Alacant?         ,Alacant/Alicante ,-0.637952999999995,38.436116000000005
POINT (705943.763210481 4257430.91429246),595,MUSEO DE ALFARER?A                                    ,"C/ MONFORTE, 4                                         ",3002,1930,Equipamiento         ,Cultural                                 ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Agost               ,l'Alacant?         ,Alacant/Alicante ,-0.6402649999999994,38.44142100000002
POINT (715804.959917088 4295289.31535352),596,AJUNTAMENT                                            ,"PLA?A ESPANYA, 1                                       ",3003,1900,Equipamiento         ,"Administrativo, Institucional, Infraestru",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Agres               ,el Comtat          ,Alacant/Alicante ,-0.5156353000000035,38.7799502
